"","fips_code","civilian_labor_force_2018","employed_2018","unemployed_2018","unemployment_rate_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","unemployment_rate_2019","civilian_labor_force_2020","employed_2020","unemployed_2020","unemployment_rate_2020","civilian_labor_force_2021","employed_2021","unemployed_2021","unemployment_rate_2021","civilian_labor_force_2022","employed_2022","unemployed_2022","unemployment_rate_2022"
"67","01133",9914,9499,415,4.2,10285,9924,361,3.5,10277,9748,529,5.1,10116,9838,278,2.7,10271,10020,251,2.4
"68","02013",2316,2250,66,2.8,2552,2492,60,2.4,2513,2409,104,4.1,2443,2382,61,2.5,2434,2386,48,2
"69","02016",3639,3521,118,3.2,3646,3529,117,3.2,3835,3653,182,4.7,3516,3381,135,3.8,3480,3373,107,3.1
"70","02020",150748,143152,7596,5,148736,141891,6845,4.6,147314,135690,11624,7.9,149953,141113,8840,5.9,151342,146302,5040,3.3
"71","02050",7136,6287,849,11.9,7102,6257,845,11.9,6992,6132,860,12.3,6884,5984,900,13.1,6680,6091,589,8.8
"72","02060",447,422,25,5.6,450,425,25,5.6,394,363,31,7.9,446,421,25,5.6,422,404,18,4.3
"73","02068",1064,986,78,7.3,1101,1017,84,7.6,648,535,113,17.4,811,726,85,10.5,997,934,63,6.3
"74","02070",2018,1867,151,7.5,1984,1839,145,7.3,1722,1570,152,8.8,1688,1548,140,8.3,1665,1572,93,5.6
"75","02090",45868,43444,2424,5.3,45402,43193,2209,4.9,44612,41615,2997,6.7,45067,42741,2326,5.2,45385,43716,1669,3.7
"76","02100",1102,1004,98,8.9,1133,1039,94,8.3,1025,857,168,16.4,1032,916,116,11.2,1058,988,70,6.6
"77","02110",17206,16511,695,4,17256,16556,700,4.1,16316,15169,1147,7,16801,15994,807,4.8,17387,16904,483,2.8
"78","02122",26564,24690,1874,7.1,26508,24843,1665,6.3,26661,24111,2550,9.6,27777,25747,2030,7.3,28188,26918,1270,4.5
"79","02130",7028,6638,390,5.5,7010,6610,400,5.7,6487,5824,663,10.2,6567,6083,484,7.4,6786,6529,257,3.8
"80","02150",6151,5817,334,5.4,5975,5671,304,5.1,6070,5664,406,6.7,5974,5580,394,6.6,5983,5723,260,4.3
