"","county_fips","DEMOCRAT","REPUBLICAN","LIBERTARIAN","total_votes","Perc_Dem","Perc_Rep","Perc_Lib"
"445",13199,13216,20712,350,34278,38.5553416185308,60.4235953089445,1.02106307252465
"446",13201,1902,6220,44,8166,23.2916972814107,76.1694832231203,0.538819495469018
"447",13205,11502,15404,162,27068,42.4929806413477,56.9085266735629,0.598492685089404
"448",13207,14692,37382,510,52584,27.9400578122623,71.0900654191389,0.969876768598813
"449",13209,2986,9472,68,12526,23.8384160945234,75.6187130768003,0.542870828676353
"450",13211,10826,28346,348,39520,27.3937246963563,71.7257085020243,0.880566801619433
"451",13213,5744,37260,398,43402,13.2344131606838,85.848578406525,0.917008432791116
"452",13215,144696,81858,1774,228328,63.3719911705967,35.8510563750394,0.776952454363898
"453",13217,93408,66424,1566,161398,57.8743231018972,41.1554046518544,0.970272246248405
"454",13219,27174,56448,1230,84852,32.0251732428228,66.525243954179,1.44958280299816
"455",13221,7826,17956,304,26086,30.0007666947788,68.8338572414322,1.16537606378901
"456",13223,93748,154154,3270,251172,37.3242240377112,61.373879254057,1.30189670823181
"457",13225,18268,19814,286,38368,47.6125938281902,51.6419933277731,0.745412844036697
"458",13227,9888,46072,728,56688,17.4428450465707,81.2729325430426,1.28422241038668
"459",13229,3100,24508,126,27734,11.1776159226942,88.3680680752867,0.454316002019182
"460",13231,4884,30812,382,36078,13.5373357724929,85.4038472199124,1.05881700759466
"461",13233,10530,39864,686,51080,20.6147220046985,78.0422866092404,1.34299138606108
"462",13235,3976,9048,90,13114,30.3187433277413,68.9949672106146,0.686289461644044
"463",13237,11086,27516,382,38984,28.4373076133798,70.5828032013134,0.979889185306793
"464",13239,1416,1976,26,3418,41.4277355178467,57.8115857226448,0.760678759508484
"465",13241,7020,23844,446,31310,22.4209517725966,76.1545832002555,1.42446502714788
"466",13243,5434,4432,46,9912,54.8224374495561,44.7134786117837,0.46408393866021
"467",13245,170758,75010,1760,247528,68.9853269125109,30.3036424162115,0.711030671277593
"468",13247,98710,32948,1148,132806,74.3264611538635,24.8091200698764,0.864418776260109
"469",13249,1460,5694,38,7192,20.3003337041157,79.1713014460512,0.528364849833148
"470",13251,7838,12380,146,20364,38.4894912590847,60.7935572579061,0.716951483009232
"471",13253,3240,8214,88,11542,28.0713914399584,71.1661757061168,0.762432853924796
"472",13255,37326,53182,1070,91578,40.7586975037673,58.0728996047086,1.16840289152417
"473",13257,6848,28152,394,35394,19.347912075493,79.5389048991354,1.11318302537153
"474",13259,3630,2344,26,6000,60.5,39.0666666666667,0.433333333333333
"475",13261,19086,17586,192,36864,51.7740885416667,47.705078125,0.520833333333333
"476",13263,6586,4358,86,11030,59.7098821396192,39.5104261106074,0.779691749773345
"477",13265,1828,1188,8,3024,60.4497354497355,39.2857142857143,0.264550264550265
"478",13267,5930,18856,218,25004,23.7162054071349,75.4119340905455,0.871860502319629
"479",13269,4540,7798,70,12408,36.5892972275951,62.846550612508,0.564152159896841
"480",13271,4138,9044,56,13238,31.2584982625774,68.3184771113461,0.423024626076447
"481",13273,7362,6532,78,13972,52.6910964786716,46.7506441454337,0.558259375894646
"482",13275,24944,39826,526,65296,38.2014212202891,60.9930164175447,0.805562362166136
"483",13277,15348,34328,352,50028,30.6788198608779,68.6175741584713,0.703605980650836
"484",13279,8068,24156,200,32424,24.8828028620775,74.500370096225,0.616827041697508
"485",13281,5284,21538,358,27180,19.4407652685798,79.2420897718911,1.31714495952907
"486",13283,2788,6730,24,9542,29.2181932508908,70.5302871515406,0.251519597568644
"487",13285,34290,53388,852,88530,38.7326330057608,60.3049813622501,0.962385631989156
"488",13287,4400,7274,84,11758,37.4213301581902,61.8642626296989,0.714407212110903
"489",13289,6368,7370,90,13828,46.0514897309806,53.2976569279722,0.650853341047151
"490",13291,10094,42800,756,53650,18.8145386766076,79.7763280521901,1.40913327120224
"491",13293,12090,25456,412,37958,31.8509932030139,67.0635966067759,1.08541019021023
"492",13295,16564,65162,1062,82788,20.0077305889742,78.7094748031116,1.28279460791419
"493",13297,41582,117400,2008,160990,25.8289334741288,72.9237840859681,1.2472824399031
"494",13299,11674,29144,322,41140,28.3762761302868,70.8410306271269,0.782693242586291
"495",13301,4360,3932,50,8342,52.2656437305203,47.134979621194,0.599376648285783
"496",13303,15094,15142,132,30368,49.7036354056902,49.8616965226554,0.434668071654373
