,state,county_fips,county_name,democratic,republican,independent,people.s.party,libertarian,green,nonpartisan,none,INT,american.delta,OTHER,NOPTY,unknown,BOT,other,other.party,unaffiliated,unenrolled,Nonpartisan,NP,republican.democratic,democratic.republican,independent.republican,conservative,independence,non.partisan,Sick.of.Scandals.Party,american.party.of.south.carolina,constitution,working.families,non.partisan.1,no.affiliation,total_votes,percent_democratic,percent_republican
1041,Wisconsin,55121,Trempealeau County,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56188,0.046273225599772,0
1042,Wisconsin,55123,Vernon County,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56198,0,0.05872095092352
1043,Wisconsin,55125,Vilas County,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56183,0,0.026698467507965
1044,Wisconsin,55127,Walworth County,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56213,0,0.074715813068152
1045,Wisconsin,55129,Washburn County,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56199,0.044484777309205,0
1046,Wisconsin,55131,Washington County,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56221,0,0.078262570925455
1047,Wisconsin,55133,Waukesha County,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56377,0,0.349433279528886
1048,Wisconsin,55135,Waupaca County,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56261,0.06931977746574,0.06931977746574
1049,Wisconsin,55137,Waushara County,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56212,0,0.046253469010176
1050,Wisconsin,55139,Winnebago County,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56271,0,0.145723374384674
1051,Wisconsin,55141,Wood County,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56237,0,0.080018493162864
